Summary,Issue Type,Description,Priority,Original Estimate,Parent
"MSS 라이브러리 설정 및 화면 캡처 모듈 구현",Sub-task,"MSS 라이브러리를 설정하고 게임 화면 캡처 모듈을 구현합니다.

- MSS 라이브러리 설치 및 설정
- 화면 캡처 함수 구현
- 캡처 성능 측정",High,4h,"[US-01] 화면 캡처 기능"
"캡처 영역 좌표 설정 로직 구현",Sub-task,"게임 캔버스 영역을 정확히 추출하기 위한 좌표 설정 로직을 구현합니다.

- 브라우저 창 위치 감지
- 게임 캔버스 좌표 계산
- 동적 영역 조정 기능",Medium,2h,"[US-01] 화면 캡처 기능"
"FPS 측정 및 최적화",Sub-task,"캡처 성능을 측정하고 30FPS 이상 달성을 위한 최적화를 수행합니다.",Medium,2h,"[US-01] 화면 캡처 기능"
"OpenCV 그레이스케일 변환 구현",Sub-task,"캡처된 컬러 이미지를 흑백으로 변환하는 기능을 구현합니다.

- cv2.cvtColor 활용
- 변환 성능 최적화",High,2h,"[US-02] 이미지 전처리 기능"
"Canny Edge Detection 적용",Sub-task,"윤곽선 추출을 위한 Canny Edge Detection을 적용합니다.

- 최적 threshold 값 탐색
- 엣지 검출 파라미터 튜닝",High,2h,"[US-02] 이미지 전처리 기능"
"전처리 파이프라인 통합",Sub-task,"개별 전처리 단계를 하나의 파이프라인으로 통합합니다.",Medium,2h,"[US-02] 이미지 전처리 기능"
"공룡 앞 ROI 영역 정의",Sub-task,"장애물 탐지를 위한 관심 영역(ROI)을 정의합니다.

- 공룡 위치 기준 ROI 설정
- 영역 크기 최적화",High,2h,"[US-03] 기본 장애물 탐지"
"픽셀 밀도 기반 장애물 감지 알고리즘",Sub-task,"ROI 내 픽셀 밀도를 분석하여 장애물을 감지하는 알고리즘을 구현합니다.

- 검은색 픽셀 카운팅
- 임계값 기반 장애물 판정
- 노이즈 필터링",High,4h,"[US-03] 기본 장애물 탐지"
"거리 계산 함수 구현",Sub-task,"장애물과 공룡 사이의 수평 거리를 계산하는 함수를 구현합니다.",Medium,2h,"[US-03] 기본 장애물 탐지"
"PyDirectInput 환경 설정",Sub-task,"PyDirectInput 라이브러리 설치 및 환경을 설정합니다.",High,1h,"[US-04] 키보드 입력 제어"
"점프 명령 전송 함수 구현",Sub-task,"Space 키를 눌러 점프 명령을 전송하는 함수를 구현합니다.

- keyDown/keyUp 제어
- 타이밍 정확도 테스트",High,2h,"[US-04] 키보드 입력 제어"
"입력 지연 측정 및 최적화",Sub-task,"키보드 입력 지연을 측정하고 5ms 이하로 최적화합니다.",Medium,2h,"[US-04] 키보드 입력 제어"
"메인 게임 루프 통합",Sub-task,"캡처, 전처리, 탐지, 입력을 하나의 게임 루프로 통합합니다.

- 루프 구조 설계
- 각 모듈 연동
- 에러 핸들링",High,4h,"[US-01] 화면 캡처 기능"
"Phase 1 통합 테스트 및 버그 수정",Sub-task,"MVP 전체 기능에 대한 통합 테스트 및 발견된 버그를 수정합니다.",High,4h,"[US-04] 키보드 입력 제어"
"익룡 이미지 템플릿 수집",Sub-task,"템플릿 매칭을 위한 익룡 이미지 샘플을 수집합니다.

- 다양한 크기/위치의 익룡 캡처
- 템플릿 이미지 전처리",High,2h,"[US-05] 익룡 탐지 기능"
"템플릿 매칭 알고리즘 구현",Sub-task,"OpenCV 템플릿 매칭을 활용한 익룡 탐지 알고리즘을 구현합니다.

- cv2.matchTemplate 활용
- 매칭 임계값 최적화",High,4h,"[US-05] 익룡 탐지 기능"
"익룡 높이 분류 로직",Sub-task,"탐지된 익룡의 높이를 분류하는 로직을 구현합니다 (상단/중단/하단).",High,3h,"[US-05] 익룡 탐지 기능"
"장애물 타입 분류기 통합",Sub-task,"선인장과 익룡을 구분하는 통합 분류기를 구현합니다.",Medium,2h,"[US-05] 익룡 탐지 기능"
"Down Arrow 키 입력 함수",Sub-task,"숙기(Duck)를 위한 Down Arrow 키 입력 함수를 구현합니다.",High,1h,"[US-06] 숙기(Duck) 기능"
"숙기 지속 시간 타이머",Sub-task,"숙기 동작의 지속 시간을 제어하는 타이머를 구현합니다.",Medium,2h,"[US-06] 숙기(Duck) 기능"
"행동 결정 로직 (Jump/Duck/Stay)",Sub-task,"장애물 타입과 위치에 따른 행동 결정 로직을 구현합니다.

- 선인장 → 점프
- 높은 익룡 → 숙기
- 낮은 익룡 → 점프",High,3h,"[US-06] 숙기(Duck) 기능"
"프레임 간 이동 거리 계산",Sub-task,"연속 프레임 간 장애물 이동 거리를 계산합니다.

- 프레임 버퍼 구현
- 이동 거리 계산 알고리즘",High,3h,"[US-07] 게임 속도 측정"
"속도 추정 알고리즘",Sub-task,"이동 거리를 기반으로 현재 게임 속도를 추정하는 알고리즘을 구현합니다.",High,3h,"[US-07] 게임 속도 측정"
"속도 데이터 버퍼링 및 평활화",Sub-task,"속도 데이터의 노이즈를 줄이기 위한 버퍼링 및 평활화를 구현합니다.",Medium,2h,"[US-07] 게임 속도 측정"
"속도-거리 매핑 함수 설계",Sub-task,"게임 속도에 따른 반응 거리 매핑 함수를 설계합니다.",High,2h,"[US-08] 동적 임계값 조정"
"동적 ROI 확장 로직",Sub-task,"속도에 따라 Search Window를 동적으로 확장하는 로직을 구현합니다.",High,3h,"[US-08] 동적 임계값 조정"
"타이밍 보정 파라미터 튜닝",Sub-task,"다양한 속도에서 최적의 점프 타이밍을 위한 파라미터를 튜닝합니다.",Medium,4h,"[US-08] 동적 임계값 조정"
"Phase 2 통합 테스트",Sub-task,"고도화 기능 전체에 대한 통합 테스트를 수행합니다.",High,4h,"[US-08] 동적 임계값 조정"
"Gym 환경 기본 구조 구현",Sub-task,"OpenAI Gym 호환 환경의 기본 구조를 구현합니다.

- __init__, reset, step, render 메서드
- 환경 설정 파라미터",High,4h,"[US-09] RL 환경 구축"
"상태 공간(Observation) 정의",Sub-task,"강화학습 에이전트가 받을 상태 정보를 정의합니다.

- 장애물 거리, 속도, 타입 등
- observation_space 설정",High,3h,"[US-09] RL 환경 구축"
"행동 공간(Action) 정의",Sub-task,"에이전트가 취할 수 있는 행동을 정의합니다.

- action_space 설정 (Jump, Duck, Stay)",Medium,2h,"[US-09] RL 환경 구축"
"보상 함수 설계 및 구현",Sub-task,"학습을 위한 보상 함수를 설계하고 구현합니다.

- 생존 보상
- 충돌 페널티
- 점수 보너스",High,4h,"[US-09] RL 환경 구축"
"환경-게임 연동 테스트",Sub-task,"구현된 Gym 환경과 실제 게임의 연동을 테스트합니다.",High,3h,"[US-09] RL 환경 구축"
"Stable Baselines3 설정",Sub-task,"Stable Baselines3 라이브러리를 설치하고 환경을 설정합니다.",High,2h,"[US-10] RL 에이전트 학습"
"PPO 에이전트 학습 스크립트",Sub-task,"PPO 알고리즘을 사용한 에이전트 학습 스크립트를 작성합니다.",High,4h,"[US-10] RL 에이전트 학습"
"DQN 에이전트 학습 스크립트",Sub-task,"DQN 알고리즘을 사용한 에이전트 학습 스크립트를 작성합니다.",Medium,4h,"[US-10] RL 에이전트 학습"
"하이퍼파라미터 튜닝 실험",Sub-task,"최적의 학습 성능을 위한 하이퍼파라미터 튜닝 실험을 수행합니다.",Medium,8h,"[US-10] RL 에이전트 학습"
"모델 체크포인트 저장/로드",Sub-task,"학습된 모델의 체크포인트 저장 및 로드 기능을 구현합니다.",Medium,2h,"[US-10] RL 에이전트 학습"
"평가 메트릭 정의",Sub-task,"에이전트 성능 평가를 위한 메트릭을 정의합니다.

- 평균 점수, 최고 점수
- 생존 시간
- 성공률",High,2h,"[US-11] 성능 평가 및 비교"
"자동화 평가 스크립트",Sub-task,"에이전트 성능을 자동으로 평가하는 스크립트를 작성합니다.",Medium,3h,"[US-11] 성능 평가 및 비교"
"결과 시각화 (Matplotlib/TensorBoard)",Sub-task,"학습 및 평가 결과를 시각화하는 기능을 구현합니다.",Medium,3h,"[US-11] 성능 평가 및 비교"
"최종 성능 리포트 작성",Sub-task,"규칙 기반 vs RL 에이전트 성능 비교 리포트를 작성합니다.",Low,2h,"[US-11] 성능 평가 및 비교"
